Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:01<00:02,  1.48s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:02<00:01,  1.47s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.41s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.42s/it]
calibrated means over 32 items
baseline acc=0.607 [0.527, 0.681]  {'contradiction': 81, 'entailment': 69}

  L17 H0   acc=0.647  delta=+0.040   (1/192, 3.1/min, eta 62 min)
  L17 H1   acc=0.633  delta=+0.027   (2/192, 3.1/min, eta 62 min)
  L17 H2   acc=0.713  delta=+0.107   (3/192, 3.0/min, eta 62 min)
  L17 H3   acc=0.620  delta=+0.013   (4/192, 3.0/min, eta 62 min)
  L17 H4   acc=0.627  delta=+0.020   (5/192, 3.0/min, eta 62 min)
  L17 H5   acc=0.620  delta=+0.013   (6/192, 3.0/min, eta 61 min)
  L17 H6   acc=0.627  delta=+0.020   (7/192, 3.0/min, eta 61 min)
  L17 H7   acc=0.620  delta=+0.013   (8/192, 3.0/min, eta 61 min)
  L17 H8   acc=0.607  delta=+0.000   (9/192, 3.0/min, eta 61 min)
  L17 H9   acc=0.580  delta=-0.027   (10/192, 3.0/min, eta 60 min)
  L17 H10  acc=0.607  delta=+0.000   (11/192, 3.0/min, eta 60 min)
  L17 H11  acc=0.587  delta=-0.020   (12/192, 3.0/min, eta 60 min)
  L17 H12  acc=0.587  delta=-0.020   (13/192, 3.0/min, eta 60 min)
  L17 H13  acc=0.640  delta=+0.033   (14/192, 3.0/min, eta 59 min)
  L17 H14  acc=0.607  delta=+0.000   (15/192, 3.0/min, eta 59 min)
  L17 H15  acc=0.600  delta=-0.007   (16/192, 3.0/min, eta 59 min)
  L17 H16  acc=0.620  delta=+0.013   (17/192, 3.0/min, eta 58 min)
  L17 H17  acc=0.567  delta=-0.040   (18/192, 3.0/min, eta 58 min)
  L17 H18  acc=0.593  delta=-0.013   (19/192, 3.0/min, eta 58 min)
  L17 H19  acc=0.693  delta=+0.087   (20/192, 3.0/min, eta 57 min)
  L17 H20  acc=0.587  delta=-0.020   (21/192, 3.0/min, eta 57 min)
  L17 H21  acc=0.700  delta=+0.093   (22/192, 3.0/min, eta 57 min)
  L17 H22  acc=0.600  delta=-0.007   (23/192, 3.0/min, eta 56 min)
  L17 H23  acc=0.613  delta=+0.007   (24/192, 3.0/min, eta 56 min)
  L17 H24  acc=0.553  delta=-0.053   (25/192, 3.0/min, eta 56 min)
  L17 H25  acc=0.600  delta=-0.007   (26/192, 3.0/min, eta 55 min)
  L17 H26  acc=0.560  delta=-0.047   (27/192, 3.0/min, eta 55 min)
  L17 H27  acc=0.553  delta=-0.053   (28/192, 3.0/min, eta 55 min)
  L17 H28  acc=0.613  delta=+0.007   (29/192, 3.0/min, eta 54 min)
