layer  cos(corr,short)  |diff|/|corr|  cos(L,32)  cos(L,L+1)
    0  +0.9997  0.0259  +0.0391  +0.7244
    1  +0.9999  0.0148  +0.0390  +0.8889
    2  +0.9999  0.0146  +0.0246  +0.7421
    3  +0.9999  0.0108  +0.0282  +0.8411
    4  +0.9999  0.0110  +0.0269  +0.8341
    5  +0.9999  0.0103  +0.0174  +0.8185
    6  +1.0000  0.0098  +0.0139  +0.7788
    7  +1.0000  0.0099  +0.0180  +0.7635
    8  +0.9999  0.0104  +0.0283  +0.7709
    9  +0.9999  0.0101  +0.0042  +0.5687
   10  +0.9999  0.0131  +0.0070  +0.6557
   11  +0.9999  0.0173  +0.0178  +0.5645
   12  +0.9998  0.0197  +0.0030  +0.5721
   13  +0.9997  0.0251  +0.0011  +0.5413
   14  +0.9994  0.0342  +0.0099  +0.4755
   15  +0.9987  0.0516  +0.0389  +0.6390
   16  +0.9977  0.0687  +0.0622  +0.7108
   17  +0.9973  0.0739  +0.0751  +0.7609
   18  +0.9970  0.0781  +0.0949  +0.7846
   19  +0.9973  0.0746  +0.1505  +0.7353
   20  +0.9964  0.0861  +0.2017  +0.8384
   21  +0.9964  0.0854  +0.2564  +0.8926
   22  +0.9967  0.0817  +0.3012  +0.9139
   23  +0.9971  0.0769  +0.3275  +0.9254
   24  +0.9972  0.0753  +0.3526  +0.9267
   25  +0.9974  0.0724  +0.3853  +0.9276
   26  +0.9976  0.0691  +0.4113  +0.9210
   27  +0.9978  0.0665  +0.4506  +0.9060
   28  +0.9979  0.0642  +0.5022  +0.8963
   29  +0.9980  0.0629  +0.5653  +0.7923
   30  +0.9975  0.0706  +0.6156  +0.8384
   31  +0.9977  0.0685  +0.7628  +0.7628
   32  +0.9973  0.0729  +1.0000  +nan
